"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,5.12687971930879e-05,0.924528301886792,0.885281385281385,0.918549617120304,0.921823274764451,0.916339869281046,1.82
2,5.12687971930879e-06,0.924528301886792,0.884970157352143,0.928779862113195,0.923558897243108,0.944444444444444,6.41
3,5.12687971930879e-06,0.924528301886792,0.885032537960954,0.928881262214596,0.925925925925926,0.933166248955723,5.91
4,5.12687971930879e-05,0.924528301886792,0.885775862068966,0.922608478958353,0.924436090225564,0.923809523809524,1.79
5,5.12687971930879e-06,0.886792452830189,0.822939866369711,0.88991452991453,0.875388198757764,0.914462081128748,6.44
6,5.12687971930879e-06,0.886792452830189,0.820440429136081,0.876887709991158,0.877289377289377,0.891025641025641,5.92
7,5.12687971930879e-06,0.943396226415094,0.910724312184166,0.944236954040876,0.950549450549451,0.939047619047619,1.75
8,5.12687971930879e-06,0.981132075471698,0.971304818624797,0.979107312440646,0.976190476190476,0.983333333333333,5.4
9,5.12687971930879e-05,0.905660377358491,0.856601731601732,0.910530370929446,0.915329768270945,0.906816059757236,6.38999999999999
10,5.12687971930879e-06,0.830188679245283,0.743961352657005,0.839956681420096,0.843915343915344,0.853907867494824,1.66
11,5.12687971930879e-06,0.905660377358491,0.854555433589462,0.910526661413186,0.902215431627196,0.924444444444444,5.17
12,5.12687971930879e-06,0.943396226415094,0.913821138211382,0.948172757475083,0.947089947089947,0.950089126559715,6.46
13,5.12687971930879e-06,0.943396226415094,0.913539967373573,0.939580009347451,0.937229437229437,0.95,1.82
14,5.12687971930879e-06,0.981132075471698,0.971474703982777,0.979958738579428,0.983333333333333,0.977777777777778,5.46
15,5.12687971930879e-06,0.943396226415094,0.913492927094668,0.945450191570881,0.945632798573975,0.948792270531401,6.39
16,5.12687971930879e-05,0.886792452830189,0.828848223896663,0.888490214352283,0.894179894179894,0.885380116959064,1.87
17,5.12687971930879e-06,0.905660377358491,0.853022739877981,0.909196271101033,0.912380952380952,0.909722222222222,5.72
18,5.12687971930879e-06,0.962264150943396,0.941981390257252,0.963060557263456,0.956582633053221,0.972222222222222,6.25
19,5.12687971930879e-06,0.867924528301887,0.799133730373579,0.871662360034453,0.87991718426501,0.874358974358974,1.72
20,5.12687971930879e-06,0.905660377358491,0.856834143706105,0.91430454845089,0.915343915343915,0.914035087719298,5.97
21,5.12687971930879e-05,0.905660377358491,0.854794520547945,0.907834026249287,0.922857142857143,0.898737373737374,6.13
22,5.12687971930879e-05,0.905660377358491,0.854714912280702,0.908471418766546,0.913888888888889,0.912190963341858,1.83
23,5.12687971930879e-06,0.943396226415094,0.913351498637602,0.947474747474747,0.945632798573975,0.95018115942029,6.58
24,5.12687971930879e-06,0.886792452830189,0.826229508196721,0.891045548654244,0.887063916475681,0.898412698412698,5.77
25,5.12687971930879e-06,0.962264150943396,0.942609637249594,0.962440645773979,0.95952380952381,0.966666666666667,1.88999999999999
26,5.12687971930879e-06,0.924528301886792,0.884782608695652,0.92506908296382,0.918170426065163,0.937001594896332,5.73
27,5.12687971930879e-06,0.924528301886792,0.884782608695652,0.93048128342246,0.93048128342246,0.93048128342246,6.44
28,5.12687971930879e-06,0.924528301886792,0.885775862068966,0.922689075630252,0.93048128342246,0.919117647058823,1.86
29,5.12687971930879e-06,0.943396226415094,0.912685337726524,0.94646533973919,0.943840579710145,0.95,5.61000000000001
30,5.12687971930879e-06,0.962264150943396,0.942609637249594,0.961980380037719,0.96031746031746,0.966666666666667,6.69
31,5.12687971930879e-06,0.867924528301887,0.796377607025247,0.868902691511387,0.86425983436853,0.886346300533944,1.71
32,5.12687971930879e-06,0.886792452830189,0.825848849945236,0.893671009613039,0.891045548654244,0.89769820971867,5.32
33,5.12687971930879e-06,0.905660377358491,0.855899945622621,0.908572257409467,0.90062656641604,0.923510466988728,6.45
