"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.182781711836714,0.913461538461538,0.80772391125719,0.873239436619718,0.837837837837838,0.911764705882353,30.2099999999999
2,0.0182781711836714,0.894230769230769,0.759056444818871,0.835820895522388,0.756756756756757,0.933333333333333,25.67
3,0.182781711836714,0.903846153846154,0.790237999193223,0.864864864864865,0.864864864864865,0.864864864864865,22.1799999999999
4,0.0365563423673429,0.913461538461538,0.802864363942713,0.865671641791045,0.783783783783784,0.966666666666667,30.8099999999999
5,0.182781711836714,0.903846153846154,0.779567613395507,0.848484848484849,0.756756756756757,0.96551724137931,26.11
6,0.182781711836714,0.903846153846154,0.785035138486978,0.857142857142857,0.810810810810811,0.909090909090909,21.42
7,0.182781711836714,0.913461538461538,0.805324459234609,0.869565217391304,0.810810810810811,0.9375,29.12
8,0.182781711836714,0.942307692307692,0.871021083092187,0.914285714285714,0.864864864864865,0.96969696969697,26.89
9,0.182781711836714,0.932692307692308,0.852272727272727,0.904109589041096,0.891891891891892,0.916666666666667,22.01
10,0.182781711836714,0.942307692307692,0.872601061657819,0.916666666666667,0.891891891891892,0.942857142857143,29.09
11,0.182781711836714,0.913461538461538,0.802864363942713,0.865671641791045,0.783783783783784,0.966666666666667,26.36
12,0.00913908559183572,0.913461538461538,0.802864363942713,0.865671641791045,0.783783783783784,0.966666666666667,22.3100000000001
13,0.182781711836714,0.932692307692308,0.848585690515807,0.898550724637681,0.837837837837838,0.96875,29.6
14,0.0365563423673429,0.875,0.71524852569503,0.805970149253731,0.72972972972973,0.9,26.14
15,0.182781711836714,0.932692307692308,0.848585690515807,0.898550724637681,0.837837837837838,0.96875,22.3499999999999
16,0.182781711836714,0.923076923076923,0.832190399354579,0.891891891891892,0.891891891891892,0.891891891891892,29.23
17,0.182781711836714,0.923076923076923,0.830134748877093,0.888888888888889,0.864864864864865,0.914285714285714,26.1400000000001
18,0.182781711836714,0.961538461538462,0.915067374438546,0.944444444444445,0.918918918918919,0.971428571428571,22.53
19,0.0365563423673429,0.932692307692308,0.846672283066554,0.895522388059701,0.810810810810811,1,29
20,0.182781711836714,0.951923076923077,0.891846921797005,0.927536231884058,0.864864864864865,1,25.73
21,0.0182781711836714,0.894230769230769,0.759056444818871,0.835820895522388,0.756756756756757,0.933333333333333,22.98
22,0.182781711836714,0.875,0.722267871815941,0.816901408450704,0.783783783783784,0.852941176470588,29.53
23,0.00913908559183572,0.846153846153846,0.642765135251181,0.75,0.648648648648649,0.888888888888889,25.72
24,0.182781711836714,0.932692307692308,0.854049719326383,0.906666666666667,0.918918918918919,0.894736842105263,22.8099999999999
25,0.00913908559183572,0.913461538461538,0.805324459234609,0.869565217391304,0.810810810810811,0.9375,29.62
26,0.182781711836714,0.932692307692308,0.854049719326383,0.906666666666667,0.918918918918919,0.894736842105263,26.25
27,0.182781711836714,0.923076923076923,0.830134748877093,0.888888888888889,0.864864864864865,0.914285714285714,22.03
28,0.182781711836714,0.942307692307692,0.871021083092187,0.914285714285714,0.864864864864865,0.96969696969697,29.72
29,0.182781711836714,0.913461538461538,0.810064935064935,0.876712328767123,0.864864864864865,0.888888888888889,26.98
30,0.182781711836714,0.913461538461538,0.812349639133921,0.88,0.891891891891892,0.868421052631579,21.3199999999999
31,0.182781711836714,0.942307692307692,0.871021083092187,0.914285714285714,0.864864864864865,0.96969696969697,28.6899999999999
32,0.182781711836714,0.932692307692308,0.850451930977814,0.901408450704225,0.864864864864865,0.941176470588235,27.25
33,0.00137086283877536,0.894230769230769,0.759056444818871,0.835820895522388,0.756756756756757,0.933333333333333,21.85
