"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,6.47158343563841e-06,0.670731707317073,0.550164799606688,0.624580140149587,0.608647976282216,0.687680901117434,3512.16
2,6.47158343563841e-06,0.668021680216802,0.550359220234706,0.636444865631102,0.628214725679939,0.657368087320093,3445.22
3,6.47158343563841e-06,0.677506775067751,0.562370282519378,0.656751226128426,0.643451755673724,0.678266300712516,3438.92
4,6.47158343563841e-06,0.669376693766938,0.547946237152999,0.651372825335154,0.629780471699385,0.686410675381264,3495.53
5,6.47158343563841e-06,0.64769647696477,0.523714963710198,0.611045813686929,0.603502426765421,0.633550213697272,3463.17
6,6.47158343563841e-06,0.685636856368564,0.574776045637764,0.654562096251594,0.647365613351627,0.67205474606984,3444.7
7,6.47158343563841e-06,0.676151761517615,0.559289594275177,0.635199691235244,0.621380222451359,0.677696489463378,3494.67
8,6.47158343563841e-06,0.669376693766938,0.55195047548905,0.629754290999811,0.618889076238299,0.667600828367221,3443.11
9,6.47158343563841e-06,0.673441734417344,0.556793206046379,0.635082711802041,0.625503235585408,0.657847215612872,3457
10,6.47158343563841e-06,0.666666666666667,0.548047408867878,0.633460689150518,0.621507638581646,0.677247130820601,3503.31
11,6.47158343563841e-06,0.680216802168022,0.566823852444338,0.660964591846885,0.650091393318786,0.67856484581212,3450.83
12,6.47158343563841e-06,0.655826558265583,0.532777507757879,0.640991857836675,0.627456171336412,0.674016776062812,3434.63
13,6.47158343563841e-06,0.657181571815718,0.532088503071144,0.612305801905368,0.597428266049033,0.637124480801784,3529.19
14,6.47158343563841e-06,0.680216802168022,0.565099705851507,0.633921252281949,0.625272983771102,0.661721387591972,3444.5
15,6.47158343563841e-06,0.665311653116531,0.542983645931791,0.633426694878145,0.616063825341802,0.664550447595796,3428.3
16,6.47158343563841e-06,0.659891598915989,0.537874308637633,0.640072925070118,0.628041780384704,0.658828757505204,3534.67
17,6.47158343563841e-06,0.651761517615176,0.524602532064377,0.636786006619054,0.616488382727802,0.677018665022194,3442.33
18,6.47158343563841e-06,0.677506775067751,0.559387511413922,0.648859816410299,0.628087648000434,0.687301907822074,3426.56
19,6.47158343563841e-06,0.666666666666667,0.548764089626804,0.649971350779393,0.638625746460124,0.672264120087121,3521.94
20,6.47158343563841e-06,0.630081300813008,0.496121006587536,0.587146872701548,0.570010699484093,0.631529531338227,3452.52
21,6.47158343563841e-06,0.668021680216802,0.549165203861805,0.643000848459428,0.624763038633118,0.696256798197947,3429.94
22,6.47158343563841e-06,0.655826558265583,0.530502603560077,0.630478560930249,0.61527635096947,0.65532294126468,3543.04
23,6.47158343563841e-06,0.707317073170732,0.600562291865561,0.674128585878017,0.654651357816887,0.716367385280736,3447.36
24,6.47158343563841e-06,0.677506775067751,0.559021352983267,0.631109631722036,0.612391403627076,0.674907517947645,3421.06
25,6.47158343563841e-06,0.657181571815718,0.528465468430769,0.619668923677487,0.594232882566579,0.669304810364718,3517.09
26,6.47158343563841e-06,0.672086720867209,0.554924228264689,0.637285976998487,0.625364437774805,0.660206226013206,3447.54
27,6.47158343563841e-06,0.70189701897019,0.596668215140096,0.664905951026527,0.660773853052001,0.677950776635973,3434.02
28,6.47158343563841e-06,0.682926829268293,0.56702411188194,0.640379633464769,0.618538070194366,0.699295070819729,3491.97
29,6.47158343563841e-06,0.655826558265583,0.531960899364552,0.622762096574298,0.610252084944386,0.64379038721406,3447.25
30,6.47158343563841e-06,0.650406504065041,0.523573126485675,0.618058058944391,0.598899900350478,0.674902738450797,3434.96
31,6.47158343563841e-06,0.68970189701897,0.579733967289267,0.664953807194258,0.654709343070289,0.683320377204194,3510.65
32,6.47158343563841e-06,0.707317073170732,0.600611329641971,0.663769689807035,0.648058802504112,0.693370206993253,3452.37
33,6.47158343563841e-06,0.692411924119241,0.58012060573554,0.647890164789792,0.630899063753905,0.682495920639014,3437.27
