"","GNLPDA","KFDA","LDA_MASS","QDA","SVM_Poly2","SVM_Poly3"
"KFDA",3.40588393044072e-07,NA,NA,NA,NA,NA
"LDA_MASS",0.830806441500337,0.000338564094018556,NA,NA,NA,NA
"QDA",0.00022635515696956,0.872253781310299,0.0373059204977053,NA,NA,NA
"SVM_Poly2",5.67323965583455e-14,0.000296323214902694,6.03961325396085e-14,4.81029195031901e-07,NA,NA
"SVM_Poly3",8.42110603471724e-10,0.963110515527624,3.0155317082281e-06,0.289282876686262,0.0129885916524389,NA
"SVM_Radial",2.4030080725268e-07,0.999999996121841,0.000259108589970247,0.845330943099772,0.000386461601518118,0.973216662836648
