"Semilla","LDA_MASS","KFDA","QDA","SVM_Radial","SVM_Poly2","SVM_Poly3","GNLPDA"
1,0.752173913043478,0.721739130434783,0.756521739130435,0.739130434782609,0.665217391304348,0.743478260869565,0.78695652173913
2,0.730434782608696,0.673913043478261,0.7,0.678260869565217,0.634782608695652,0.673913043478261,0.743478260869565
3,0.743478260869565,0.739130434782609,0.765217391304348,0.726086956521739,0.669565217391304,0.71304347826087,0.765217391304348
4,0.726086956521739,0.704347826086957,0.68695652173913,0.721739130434783,0.608695652173913,0.691304347826087,0.756521739130435
5,0.760869565217391,0.739130434782609,0.743478260869565,0.68695652173913,0.656521739130435,0.656521739130435,0.773913043478261
6,0.730434782608696,0.726086956521739,0.71304347826087,0.743478260869565,0.673913043478261,0.68695652173913,0.752173913043478
7,0.778260869565217,0.717391304347826,0.765217391304348,0.734782608695652,0.71304347826087,0.704347826086957,0.773913043478261
8,0.773913043478261,0.760869565217391,0.760869565217391,0.71304347826087,0.656521739130435,0.743478260869565,0.791304347826087
9,0.81304347826087,0.78695652173913,0.726086956521739,0.773913043478261,0.71304347826087,0.756521739130435,0.8
10,0.765217391304348,0.691304347826087,0.730434782608696,0.721739130434783,0.708695652173913,0.726086956521739,0.778260869565217
11,0.773913043478261,0.747826086956522,0.756521739130435,0.734782608695652,0.682608695652174,0.717391304347826,0.765217391304348
12,0.756521739130435,0.730434782608696,0.747826086956522,0.730434782608696,0.691304347826087,0.704347826086957,0.78695652173913
13,0.826086956521739,0.765217391304348,0.804347826086957,0.739130434782609,0.695652173913043,0.747826086956522,0.843478260869565
14,0.769565217391304,0.730434782608696,0.756521739130435,0.769565217391304,0.660869565217391,0.778260869565217,0.782608695652174
15,0.7,0.669565217391304,0.678260869565217,0.682608695652174,0.652173913043478,0.68695652173913,0.717391304347826
16,0.747826086956522,0.739130434782609,0.752173913043478,0.682608695652174,0.669565217391304,0.708695652173913,0.78695652173913
17,0.773913043478261,0.743478260869565,0.739130434782609,0.734782608695652,0.669565217391304,0.704347826086957,0.760869565217391
18,0.765217391304348,0.717391304347826,0.756521739130435,0.7,0.673913043478261,0.682608695652174,0.773913043478261
19,0.743478260869565,0.739130434782609,0.717391304347826,0.7,0.704347826086957,0.717391304347826,0.778260869565217
20,0.817391304347826,0.769565217391304,0.760869565217391,0.782608695652174,0.678260869565217,0.730434782608696,0.795652173913043
21,0.78695652173913,0.752173913043478,0.743478260869565,0.78695652173913,0.669565217391304,0.769565217391304,0.795652173913043
22,0.704347826086957,0.708695652173913,0.721739130434783,0.7,0.673913043478261,0.708695652173913,0.708695652173913
23,0.782608695652174,0.721739130434783,0.778260869565217,0.773913043478261,0.704347826086957,0.769565217391304,0.782608695652174
24,0.756521739130435,0.726086956521739,0.734782608695652,0.739130434782609,0.695652173913043,0.717391304347826,0.769565217391304
25,0.739130434782609,0.708695652173913,0.726086956521739,0.717391304347826,0.682608695652174,0.726086956521739,0.752173913043478
26,0.752173913043478,0.734782608695652,0.730434782608696,0.734782608695652,0.665217391304348,0.71304347826087,0.747826086956522
27,0.78695652173913,0.760869565217391,0.769565217391304,0.726086956521739,0.647826086956522,0.708695652173913,0.808695652173913
28,0.782608695652174,0.708695652173913,0.756521739130435,0.730434782608696,0.704347826086957,0.743478260869565,0.782608695652174
29,0.778260869565217,0.752173913043478,0.708695652173913,0.730434782608696,0.673913043478261,0.695652173913043,0.78695652173913
30,0.752173913043478,0.726086956521739,0.71304347826087,0.721739130434783,0.656521739130435,0.734782608695652,0.765217391304348
