"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.433333333333333,0.15,0.418632478632479,0.433333333333333,0.438888888888889,0.00999999999976353
2,0.455555555555556,0.183333333333333,0.432552814062248,0.455555555555556,0.435851266286049,0.0100000000002183
3,0.4,0.1,0.395884542014573,0.4,0.399116309291748,0
4,0.466666666666667,0.2,0.445019365771,0.466666666666667,0.475723622782446,0
5,0.433333333333333,0.15,0.428897028897029,0.433333333333333,0.433477633477633,0
6,0.433333333333333,0.15,0.43445968551355,0.433333333333333,0.45971986417657,0.0199999999999818
7,0.433333333333333,0.15,0.424664602683179,0.433333333333333,0.433862433862434,0
8,0.433333333333333,0.15,0.432967171717172,0.433333333333333,0.448583877995643,0.0100000000002183
9,0.433333333333333,0.15,0.422396387679407,0.433333333333333,0.435865905431123,0
10,0.411111111111111,0.116666666666667,0.394282965711537,0.411111111111111,0.406681597611049,0.00999999999976353
11,0.366666666666667,0.05,0.355413488224441,0.366666666666667,0.352073047725222,0.0199999999999818
12,0.366666666666667,0.05,0.346327509684702,0.366666666666667,0.341317714252411,0
13,0.477777777777778,0.216666666666667,0.474940769090578,0.477777777777778,0.472701149425287,0.00999999999976353
14,0.377777777777778,0.0666666666666667,0.368050690455062,0.377777777777778,0.362967229902714,0.0100000000002183
15,0.411111111111111,0.116666666666667,0.400181482524484,0.411111111111111,0.395665230447839,0
16,0.4,0.1,0.394608624949182,0.4,0.396153346328785,0.00999999999976353
17,0.511111111111111,0.266666666666667,0.492649869120457,0.511111111111111,0.498686868686869,0
18,0.433333333333333,0.15,0.422009402198081,0.433333333333333,0.426735679779158,0
19,0.333333333333333,0,0.328161452623886,0.333333333333333,0.329100652376514,0.0199999999999818
20,0.466666666666667,0.2,0.455096121762789,0.466666666666667,0.468434343434343,0.0199999999999818
21,0.422222222222222,0.133333333333333,0.377039497969731,0.422222222222222,0.362865975631933,0
22,0.422222222222222,0.133333333333333,0.388646816751392,0.422222222222222,0.39900404606287,0
23,0.455555555555556,0.183333333333333,0.45494332847043,0.455555555555556,0.46038346038346,0.0100000000002183
24,0.444444444444444,0.166666666666667,0.432548394158301,0.444444444444444,0.428278102664068,0
25,0.4,0.1,0.401884920634921,0.4,0.4061337355455,0.00999999999976353
26,0.433333333333333,0.15,0.395049764803262,0.433333333333333,0.399848828420257,0
27,0.411111111111111,0.116666666666667,0.400663916156874,0.411111111111111,0.403008130081301,0
28,0.444444444444444,0.166666666666667,0.431366350544433,0.444444444444444,0.438069062720225,0.0199999999999818
29,0.444444444444444,0.166666666666667,0.427050104410879,0.444444444444444,0.428470601791836,0
30,0.366666666666667,0.0500000000000001,0.351968810916179,0.366666666666667,0.363768115942029,0.0199999999999818
31,0.411111111111111,0.116666666666667,0.402855230177635,0.411111111111111,0.398911930363543,0
32,0.377777777777778,0.0666666666666667,0.366171515687254,0.377777777777778,0.377653904877135,0.0199999999999818
33,0.388888888888889,0.0833333333333334,0.376475376475376,0.388888888888889,0.381562881562882,0
