"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,1,1,1,1,1,0.0199999999999818
2,0.981132075471698,0.971474703982777,0.979958738579428,0.983333333333333,0.977777777777778,0.0199999999999818
3,0.962264150943396,0.942764578833693,0.963108921729611,0.965608465608466,0.961904761904762,0
4,0.962264150943396,0.942980096826251,0.962414878930305,0.966666666666667,0.961111111111111,0
5,0.981132075471698,0.971117166212534,0.982491582491583,0.985507246376812,0.980392156862745,0.0199999999999818
6,1,1,1,1,1,0.0199999999999818
7,0.943396226415094,0.910724312184166,0.944236954040876,0.950549450549451,0.939047619047619,0
8,0.981132075471698,0.971366828741221,0.982860909690178,0.982456140350877,0.984126984126984,0
9,1,1,1,1,1,0.0199999999999818
10,0.981132075471698,0.971382289416847,0.978981937602627,0.981481481481482,0.977777777777778,0.0199999999999818
11,0.981132075471698,0.971117166212534,0.982491582491583,0.980392156862745,0.985507246376812,0
12,1,1,1,1,1,0.00999999999976353
13,0.962264150943396,0.942328618063112,0.960265006385696,0.96078431372549,0.963285024154589,0
14,1,1,1,1,1,0.00999999999976353
15,0.981132075471698,0.971320346320346,0.980753809141941,0.984848484848485,0.977777777777778,0
16,0.981132075471698,0.971211298207496,0.979902383003158,0.976190476190476,0.984848484848485,0.0199999999999818
17,0.981132075471698,0.970604547975596,0.981703026038001,0.986666666666667,0.977777777777778,0.0199999999999818
18,1,1,1,1,1,0
19,0.981132075471698,0.971148611867175,0.981098339719029,0.985507246376812,0.977777777777778,0.0100000000002183
20,0.981132075471698,0.971273712737127,0.982724252491694,0.981481481481482,0.984848484848485,0
21,0.981132075471698,0.970604547975596,0.981703026038001,0.986666666666667,0.977777777777778,0
22,0.981132075471698,0.970895112575508,0.982155113246397,0.986111111111111,0.979166666666667,0
23,1,1,1,1,1,0
24,0.981132075471698,0.971273712737127,0.982724252491694,0.984848484848485,0.981481481481482,0.0199999999999818
25,1,1,1,1,1,0.0199999999999818
26,0.962264150943396,0.942980096826251,0.962414878930305,0.966666666666667,0.961111111111111,0
27,0.981132075471698,0.971320346320346,0.980753809141941,0.984848484848485,0.977777777777778,0.0199999999999818
28,0.981132075471698,0.971242539338036,0.978404737025427,0.980392156862745,0.977777777777778,0.0100000000002183
29,1,1,1,1,1,0
30,0.981132075471698,0.971273712737127,0.982724252491694,0.981481481481482,0.984848484848485,0
31,0.981132075471698,0.97086311159978,0.980562122406094,0.976190476190476,0.986111111111111,0
32,0.981132075471698,0.97086311159978,0.980562122406094,0.976190476190476,0.986111111111111,0
33,0.981132075471698,0.971474703982777,0.979958738579428,0.983333333333333,0.977777777777778,0.00999999999976353
