"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.901639344262295,0.870625027615901,0.903541337079277,0.901210870313037,0.912409946434714,0.0199999999999996
2,0.868852459016393,0.82740004617599,0.868521810320946,0.866239845465852,0.879264881450894,0.00999999999999979
3,0.896174863387978,0.863367766463801,0.900894372492008,0.896432748538012,0.912689707219985,0.04
4,0.87568306010929,0.836307607621875,0.879747776282939,0.873549786986319,0.896481838018226,0.0100000000000007
5,0.883879781420765,0.847439424477366,0.881606075553902,0.885497076023392,0.890047904484782,0.0300000000000002
6,0.881147540983607,0.843450557770687,0.884931802799058,0.875231139689344,0.902282962212898,0.0200000000000005
7,0.885245901639344,0.848792315675059,0.888520413685695,0.88023338890212,0.904935935754979,0.0200000000000005
8,0.894808743169399,0.861842105263158,0.898463075619959,0.895173189383716,0.905484875436566,0.0299999999999994
9,0.89207650273224,0.857940894686418,0.895879349352367,0.890615490460692,0.907024419366699,0.0200000000000005
10,0.89344262295082,0.860115737224561,0.891635120631233,0.892885872297637,0.898796388611942,0.00999999999999979
11,0.885245901639344,0.848868876151525,0.882008893011557,0.879951575772009,0.895603043966391,0.0300000000000002
12,0.885245901639344,0.849261605444312,0.886917101606083,0.883841655420603,0.893593143621968,0.0299999999999994
13,0.881147540983607,0.843480569018571,0.890549456620729,0.881413564076103,0.90621427662573,0.0300000000000002
14,0.894808743169399,0.86135818017238,0.896928754404354,0.889036543092271,0.910939018054829,0.0199999999999996
15,0.87431693989071,0.83436795970368,0.872861740330693,0.862702230689847,0.888379512721771,0.0300000000000002
16,0.87568306010929,0.835947197320461,0.876848480881355,0.866583048874071,0.895632397027374,0.0299999999999994
17,0.886612021857924,0.851284335851255,0.892053345403357,0.891527347781218,0.896230211400284,0
18,0.89344262295082,0.859951727791841,0.895304109610836,0.89278267312323,0.904299490507351,0.0199999999999996
19,0.885245901639344,0.849201716738197,0.885114479993637,0.88495673573073,0.893471734281321,0.0299999999999994
20,0.890710382513661,0.85607903856079,0.895356190537303,0.890251117991056,0.90566333651149,0.0300000000000002
21,0.877049180327869,0.837567556905598,0.882279680419232,0.87056018628774,0.905001354663437,0.0299999999999994
22,0.890710382513661,0.856463552134909,0.893744491055512,0.893632610939113,0.902283132768792,0.0200000000000005
23,0.89207650273224,0.857731197874382,0.89094328520704,0.887158582731338,0.91141219822597,0.0200000000000005
24,0.879781420765027,0.841652695906116,0.884350914653119,0.880894392844857,0.898895630303644,0.0299999999999994
25,0.890710382513661,0.855992681595294,0.891498540673704,0.887626418988648,0.907271423996096,0.0300000000000002
26,0.85792349726776,0.812276219879072,0.86595324394695,0.853184620676881,0.890547230547231,0.00999999999999979
27,0.867486338797814,0.824757636187731,0.868296420414812,0.857543330422587,0.894862296641392,0.0200000000000005
28,0.919398907103825,0.894208770374144,0.9209701799715,0.921145510835913,0.924203350669516,0.00999999999999979
29,0.89344262295082,0.860015593050795,0.893496561235505,0.890793839803128,0.900239726901312,0
30,0.904371584699454,0.874163175292367,0.908547393584134,0.89992723135138,0.923637370128539,0.0100000000000007
31,0.886612021857924,0.850616652569878,0.883126631314586,0.877123124553465,0.898138265425359,0.0300000000000002
32,0.885245901639344,0.848980233426337,0.895376906761379,0.888486147495435,0.908661532567928,0.0199999999999996
33,0.883879781420765,0.846790278495974,0.884147649155704,0.875097245375883,0.901914637019701,0.00999999999999979
