"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.756521739130435,0.440486533449175,0.821656050955414,0.86,0.786585365853659,5.04
2,0.734782608695652,0.381120423467137,0.808777429467085,0.86,0.763313609467456,0.0199999999999996
3,0.739130434782609,0.393139841688654,0.811320754716981,0.86,0.767857142857143,0.0100000000000007
4,0.756521739130435,0.430088495575221,0.825,0.88,0.776470588235294,5.11
5,0.8,0.545922746781116,0.851612903225806,0.88,0.825,0
6,0.752173913043478,0.425252082419991,0.82018927444795,0.866666666666667,0.778443113772455,0.00999999999999979
7,0.773913043478261,0.477272727272727,0.835443037974684,0.88,0.795180722891566,5.06
8,0.760869565217391,0.44541867601929,0.826498422712934,0.873333333333333,0.784431137724551,0
9,0.747826086956522,0.413368513632366,0.817610062893082,0.866666666666667,0.773809523809524,0.0199999999999996
10,0.8,0.531858407079646,0.85625,0.913333333333333,0.805882352941176,5
11,0.734782608695652,0.392377652663491,0.805111821086262,0.84,0.773006134969325,0.0199999999999996
12,0.708695652173913,0.320247022496692,0.789968652037618,0.84,0.745562130177515,0
13,0.769565217391304,0.484566596194503,0.826229508196721,0.84,0.812903225806452,5.05
14,0.782608695652174,0.487978628673197,0.84472049689441,0.906666666666667,0.790697674418605,0
15,0.817391304347826,0.569902048085486,0.869565217391304,0.933333333333333,0.813953488372093,0
16,0.752173913043478,0.410786516853933,0.824615384615385,0.893333333333333,0.765714285714286,5.08
17,0.752173913043478,0.414470745868691,0.823529411764706,0.886666666666667,0.76878612716763,0.0100000000000007
18,0.760869565217391,0.455445544554456,0.823151125401929,0.853333333333333,0.795031055900621,0
19,0.769565217391304,0.465585269618588,0.832807570977918,0.88,0.790419161676647,5.06
20,0.756521739130435,0.42653606411398,0.826086956521739,0.886666666666667,0.773255813953488,0.0199999999999996
21,0.752173913043478,0.421702690780768,0.821316614420063,0.873333333333333,0.775147928994083,0
22,0.778260869565217,0.47936085219707,0.841121495327103,0.9,0.789473684210526,5.03
23,0.765217391304348,0.460469157254561,0.828025477707006,0.866666666666667,0.792682926829268,0
24,0.760869565217391,0.44880174291939,0.825396825396825,0.866666666666667,0.787878787878788,0.0199999999999996
25,0.739130434782609,0.389380530973451,0.8125,0.866666666666667,0.764705882352941,5.08
26,0.739130434782609,0.381720430107527,0.814814814814815,0.88,0.758620689655172,0
27,0.769565217391304,0.478391099700471,0.828478964401295,0.853333333333333,0.805031446540881,0.0100000000000007
28,0.791304347826087,0.508459483526269,0.850931677018634,0.913333333333333,0.796511627906977,5.11
29,0.752173913043478,0.407055630936228,0.825688073394495,0.9,0.76271186440678,0
30,0.769565217391304,0.452134831460674,0.836923076923077,0.906666666666667,0.777142857142857,0
31,0.78695652173913,0.496650290308173,0.848297213622291,0.913333333333333,0.791907514450867,5.03
32,0.743478260869565,0.397691966267199,0.81619937694704,0.873333333333333,0.766081871345029,0.00999999999999979
33,0.782608695652174,0.50938566552901,0.837662337662338,0.86,0.816455696202532,0
