"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.935294117647059,0.857099189974018,0.95067264573991,0.990654205607477,0.913793103448276,0.0199999999999818
2,0.929411764705882,0.844630616907845,0.945945945945946,0.981308411214953,0.91304347826087,0.0199999999999818
3,0.947058823529412,0.883862152725064,0.959276018099547,0.990654205607477,0.929824561403509,0.00999999999999091
4,0.947058823529412,0.883081155433287,0.959641255605381,1,0.922413793103448,0
5,0.941176470588235,0.869651893881306,0.955357142857143,1,0.914529914529915,0.0200000000000387
6,0.958823529411765,0.909670563230606,0.968325791855204,1,0.93859649122807,0.0199999999999818
7,0.947058823529412,0.883081155433287,0.959641255605381,1,0.922413793103448,0
8,0.947058823529412,0.883862152725064,0.959276018099547,0.990654205607477,0.929824561403509,0
9,0.941176470588235,0.87052551408987,0.954954954954955,0.990654205607477,0.921739130434783,0.0200000000000387
10,0.964705882352941,0.922832501134816,0.972727272727273,1,0.946902654867257,0
11,0.964705882352941,0.922832501134816,0.972727272727273,1,0.946902654867257,0.0200000000000387
12,0.958823529411765,0.910269944201478,0.968036529680365,0.990654205607477,0.946428571428571,0.0199999999999818
13,0.958823529411765,0.910269944201478,0.968036529680365,0.990654205607477,0.946428571428571,0.00999999999999091
14,0.952941176470588,0.896420411271896,0.963963963963964,1,0.930434782608696,0.0199999999999818
15,0.964705882352941,0.923342852848339,0.972477064220184,0.990654205607477,0.954954954954955,0
16,0.982352941176471,0.961797752808989,0.986175115207373,1,0.972727272727273,0.0200000000000387
17,0.964705882352941,0.922832501134816,0.972727272727273,1,0.946902654867257,0.00999999999999091
18,0.958823529411765,0.909670563230606,0.968325791855204,1,0.93859649122807,0
19,0.976470588235294,0.948895235232226,0.981651376146789,1,0.963963963963964,0
20,0.952941176470588,0.897110001513088,0.963636363636364,0.990654205607477,0.938053097345133,0.0200000000000387
21,0.923529411764706,0.831117224514749,0.941704035874439,0.981308411214953,0.905172413793103,0
22,0.970588235294118,0.935907103001056,0.97716894977169,1,0.955357142857143,0.0100000000000477
23,0.929411764705882,0.844630616907845,0.945945945945946,0.981308411214953,0.91304347826087,0.00999999999999091
24,0.947058823529412,0.883081155433287,0.959641255605381,1,0.922413793103448,0
25,0.964705882352941,0.923342852848339,0.972477064220184,0.990654205607477,0.954954954954955,0
26,0.970588235294118,0.936329588014981,0.976958525345622,0.990654205607477,0.963636363636364,0
27,0.952941176470588,0.896420411271896,0.963963963963964,1,0.930434782608696,0.0200000000000387
28,0.952941176470588,0.896420411271896,0.963963963963964,1,0.930434782608696,0.0199999999999818
29,0.964705882352941,0.922832501134816,0.972727272727273,1,0.946902654867257,0.00999999999999091
30,0.958823529411765,0.909670563230606,0.968325791855204,1,0.93859649122807,0.0200000000000387
31,0.941176470588235,0.87138750189136,0.954545454545454,0.981308411214953,0.929203539823009,0
32,0.958823529411765,0.910269944201478,0.968036529680365,0.990654205607477,0.946428571428571,0
33,0.970588235294118,0.93674653966364,0.976744186046512,0.981308411214953,0.972222222222222,0.0199999999999818
