"Semilla","LDA_MASS","KFDA","QDA","SVM_Radial","SVM_Poly2","SVM_Poly3","GNLPDA"
1,0.98019801980198,0.95049504950495,0.98019801980198,0.99009900990099,0.861386138613861,0.99009900990099,0.99009900990099
2,1,0.940594059405941,0.99009900990099,1,0.891089108910891,0.98019801980198,1
3,0.97029702970297,0.940594059405941,0.97029702970297,0.97029702970297,0.861386138613861,0.98019801980198,0.97029702970297
4,0.99009900990099,0.891089108910891,0.99009900990099,0.99009900990099,0.821782178217822,0.99009900990099,0.99009900990099
5,0.99009900990099,0.930693069306931,0.99009900990099,0.99009900990099,0.821782178217822,0.99009900990099,0.98019801980198
6,1,0.910891089108911,1,0.99009900990099,0.910891089108911,0.96039603960396,0.99009900990099
7,1,0.96039603960396,1,0.99009900990099,0.861386138613861,0.99009900990099,1
8,0.97029702970297,0.930693069306931,0.98019801980198,0.98019801980198,0.861386138613861,0.99009900990099,0.99009900990099
9,1,0.910891089108911,1,1,0.871287128712871,0.99009900990099,1
10,0.99009900990099,0.97029702970297,0.99009900990099,0.96039603960396,0.782178217821782,0.95049504950495,0.98019801980198
11,0.98019801980198,0.940594059405941,0.98019801980198,0.98019801980198,0.900990099009901,0.97029702970297,0.98019801980198
12,0.99009900990099,0.940594059405941,0.99009900990099,0.99009900990099,0.841584158415842,0.99009900990099,0.99009900990099
13,0.98019801980198,0.97029702970297,0.99009900990099,0.99009900990099,0.831683168316832,0.97029702970297,0.97029702970297
14,1,0.871287128712871,1,1,0.891089108910891,1,1
15,0.95049504950495,0.910891089108911,0.96039603960396,0.97029702970297,0.871287128712871,0.96039603960396,0.96039603960396
16,1,0.940594059405941,1,1,0.95049504950495,0.98019801980198,1
17,0.99009900990099,0.97029702970297,0.99009900990099,0.99009900990099,0.861386138613861,0.98019801980198,0.99009900990099
18,0.98019801980198,0.95049504950495,0.98019801980198,0.97029702970297,0.881188118811881,0.98019801980198,0.98019801980198
19,0.98019801980198,0.910891089108911,0.98019801980198,0.95049504950495,0.851485148514851,0.96039603960396,0.99009900990099
20,0.98019801980198,0.940594059405941,0.97029702970297,0.98019801980198,0.871287128712871,0.95049504950495,0.98019801980198
21,0.99009900990099,0.920792079207921,0.99009900990099,0.99009900990099,0.871287128712871,0.99009900990099,0.99009900990099
22,1,0.920792079207921,1,0.98019801980198,0.881188118811881,0.97029702970297,1
23,0.99009900990099,0.881188118811881,0.99009900990099,0.99009900990099,0.900990099009901,0.98019801980198,1
24,0.98019801980198,0.95049504950495,0.98019801980198,0.99009900990099,0.811881188118812,1,0.99009900990099
25,0.98019801980198,0.95049504950495,0.98019801980198,0.98019801980198,0.891089108910891,0.98019801980198,1
26,1,0.920792079207921,1,0.99009900990099,0.900990099009901,0.98019801980198,0.99009900990099
27,0.99009900990099,0.940594059405941,0.99009900990099,0.99009900990099,0.900990099009901,0.99009900990099,1
28,0.98019801980198,0.95049504950495,0.99009900990099,0.98019801980198,0.851485148514851,0.97029702970297,0.98019801980198
29,0.98019801980198,0.920792079207921,0.98019801980198,0.98019801980198,0.900990099009901,0.99009900990099,0.99009900990099
30,0.98019801980198,0.920792079207921,0.99009900990099,0.99009900990099,0.900990099009901,0.99009900990099,0.97029702970297
