"","GNLPDA","KFDA","LDA_MASS","QDA","SVM_Poly2","SVM_Poly3"
"KFDA",2.28501995103159e-08,NA,NA,NA,NA,NA
"LDA_MASS",0.996901796708081,8.02057962157043e-07,NA,NA,NA,NA
"QDA",0.999942642200919,1.41472512149576e-07,0.999942642200919,NA,NA,NA
"SVM_Poly2",4.66071625737641e-13,0.711901730065208,3.71196406945273e-11,4.18798329349102e-12,NA,NA
"SVM_Poly3",0.471953089127212,0.000571521236812811,0.845330943099772,0.673572348994573,2.01578172487338e-07,NA
"SVM_Radial",0.984373168424587,2.56341876569977e-06,0.999993052364932,0.998756281508136,1.63219437965267e-10,0.926658570152726
