"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec"
1,0.00745855103721495,0.722772277227723,0.559912854030501,0.689393939393939,0.683333333333333,0.701960784313726
2,0.00149171020744299,0.861386138613861,0.777182477150961,0.842200424770847,0.825925925925926,0.871148459383754
3,0.00149171020744299,0.792079207920792,0.669780476412891,0.73953073953074,0.738888888888889,0.742832144299367
4,0.00149171020744299,0.732673267326733,0.575894245723173,0.703852021357742,0.7,0.709022852639874
5,0.00372927551860748,0.762376237623762,0.61952597708366,0.71976772918211,0.712962962962963,0.732261904761905
6,0.00149171020744299,0.871287128712871,0.796528746319541,0.853085553997195,0.85,0.857954545454545
7,0.00372927551860748,0.752475247524752,0.599968314321927,0.701080432172869,0.692592592592593,0.723587548226838
8,0.00149171020744299,0.712871287128713,0.554456951627624,0.691721852683925,0.692592592592593,0.710270554242185
9,0.0149171020744299,0.722772277227723,0.527722110888443,0.647457627118644,0.62962962962963,0.872146118721461
10,0.0149171020744299,0.772277227722772,0.628260521683469,0.737877373171491,0.718518518518519,0.792416225749559
11,0.00372927551860748,0.772277227722772,0.628141507923803,0.752039756712654,0.731481481481482,0.817293906810036
12,0.00372927551860748,0.801980198019802,0.68032916600728,0.773001725942902,0.757407407407407,0.803858024691358
13,0.0111878265558224,0.831683168316832,0.730793352148009,0.808811528920225,0.798148148148148,0.825906120023767
14,0.0111878265558224,0.792079207920792,0.658838668167927,0.74769536019536,0.727777777777778,0.810727969348659
15,0.0111878265558224,0.782178217821782,0.640103660511824,0.744694771576492,0.718518518518519,0.833573833573834
16,0.00149171020744299,0.782178217821782,0.659045573116465,0.748567561470787,0.748148148148148,0.75933908045977
17,0.00149171020744299,0.792079207920792,0.663012392755005,0.743921568627451,0.731481481481482,0.775270562770563
18,0.00149171020744299,0.792079207920792,0.669213973799127,0.76574414760305,0.759259259259259,0.77484327064159
19,0.0111878265558224,0.742574257425743,0.58144724258846,0.707142857142857,0.688888888888889,0.753672316384181
20,0.00745855103721495,0.752475247524752,0.595028067361668,0.715056392793315,0.696296296296296,0.770207638116426
21,0.0111878265558224,0.772277227722772,0.627186647408121,0.750592561216305,0.725925925925926,0.821044546850998
22,0.00149171020744299,0.693069306930693,0.494755526867839,0.63662311185247,0.624074074074074,0.698584401709402
23,0.0149171020744299,0.811881188118812,0.6917764214584,0.776903651903652,0.753703703703704,0.842937853107345
24,0.00372927551860748,0.772277227722772,0.628379459286514,0.730018632931254,0.712962962962963,0.777512525788388
25,0.00149171020744299,0.742574257425743,0.609574784418674,0.723665223665224,0.731481481481482,0.742254273504274
26,0.00149171020744299,0.821782178217822,0.716380655226209,0.778208317387422,0.772222222222222,0.79007290522321
27,0.0111878265558224,0.752475247524752,0.590429845904298,0.703857156949788,0.683333333333333,0.786895396270396
28,0.00745855103721495,0.792079207920792,0.661938157475295,0.772934472934473,0.751851851851852,0.824942456580875
29,0.00372927551860748,0.811881188118812,0.698791398524565,0.780229525299948,0.77037037037037,0.796785714285714
30,0.00149171020744299,0.782178217821782,0.654808140438092,0.74093505061247,0.737037037037037,0.746108531131751
31,0.0111878265558224,0.742574257425743,0.574530136098509,0.708712121212121,0.683333333333333,0.798717948717949
32,0.00372927551860748,0.801980198019802,0.673667205169628,0.765681003584229,0.740740740740741,0.849206349206349
33,0.00372927551860748,0.841584158415842,0.741935483870968,0.788452380952381,0.774074074074074,0.834135472370766
