"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec"
1,0.000251529505488789,0.941176470588235,0.872238088080565,0.954128440366973,0.97196261682243,0.936936936936937
2,0.000251529505488789,0.905882352941176,0.798249517875686,0.925233644859813,0.925233644859813,0.925233644859813
3,0.000628823763721974,0.917647058823529,0.824613117170228,0.933962264150943,0.925233644859813,0.942857142857143
4,0.00125764752744395,0.905882352941176,0.798249517875686,0.925233644859813,0.925233644859813,0.925233644859813
5,0.000251529505488789,0.929411764705882,0.851593190746399,0.942307692307692,0.91588785046729,0.97029702970297
6,0.00188647129116592,0.9,0.79042784626541,0.917874396135266,0.88785046728972,0.95
7,0.000251529505488789,0.929411764705882,0.84966838614591,0.943396226415094,0.934579439252336,0.952380952380952
8,0.000251529505488789,0.923529411764706,0.834456928838951,0.940092165898618,0.953271028037383,0.927272727272727
9,0.000628823763721974,0.923529411764706,0.840755152039199,0.936585365853659,0.897196261682243,0.979591836734694
10,0.000628823763721974,0.911764705882353,0.812692816218598,0.928909952606635,0.91588785046729,0.942307692307692
11,0.000251529505488789,0.929411764705882,0.850636989310294,0.942857142857143,0.925233644859813,0.961165048543689
12,0.000628823763721974,0.923529411764706,0.833358467802745,0.940639269406393,0.962616822429907,0.919642857142857
13,0.000251529505488789,0.952941176470588,0.899124758937843,0.962616822429907,0.962616822429907,0.962616822429907
14,0.000251529505488789,0.894117647058824,0.773030707610147,0.91588785046729,0.91588785046729,0.91588785046729
15,0.000251529505488789,0.952941176470588,0.899124758937843,0.962616822429907,0.962616822429907,0.962616822429907
16,0.000251529505488789,0.929411764705882,0.84966838614591,0.943396226415094,0.934579439252336,0.952380952380952
17,0.000251529505488789,0.958823529411765,0.910861423220974,0.967741935483871,0.981308411214953,0.954545454545455
18,0.000628823763721974,0.923529411764706,0.838709677419355,0.937799043062201,0.91588785046729,0.96078431372549
19,0.00251529505488789,0.923529411764706,0.837667107389452,0.938388625592417,0.925233644859813,0.951923076923077
20,0.00251529505488789,0.876470588235294,0.742758322524859,0.897560975609756,0.85981308411215,0.938775510204082
21,0.000251529505488789,0.947058823529412,0.885393258426966,0.95852534562212,0.97196261682243,0.945454545454545
22,0.000628823763721974,0.935294117647059,0.860842387260009,0.948837209302326,0.953271028037383,0.944444444444444
23,0.000251529505488789,0.929411764705882,0.847692996864268,0.944444444444445,0.953271028037383,0.935779816513762
24,0.000251529505488789,0.947058823529412,0.886884518704717,0.957746478873239,0.953271028037383,0.962264150943396
25,0.000251529505488789,0.923529411764706,0.833358467802745,0.940639269406393,0.962616822429907,0.919642857142857
26,0.000251529505488789,0.941176470588235,0.874723655121592,0.952830188679245,0.94392523364486,0.961904761904762
27,0.000251529505488789,0.905882352941176,0.795580940928904,0.926605504587156,0.94392523364486,0.90990990990991
28,0.000628823763721974,0.929411764705882,0.852537227121585,0.941747572815534,0.906542056074766,0.97979797979798
29,0.000251529505488789,0.911764705882353,0.815083393763597,0.927536231884058,0.897196261682243,0.96
30,0.000251529505488789,0.9,0.787718525047745,0.919431279620853,0.906542056074766,0.932692307692308
31,0.000628823763721974,0.905882352941176,0.798249517875686,0.925233644859813,0.925233644859813,0.925233644859813
32,0.000628823763721974,0.929411764705882,0.850636989310294,0.942857142857143,0.925233644859813,0.961165048543689
33,0.000251529505488789,0.935294117647059,0.861747745083543,0.948356807511737,0.94392523364486,0.952830188679245
