"Metodo","Accuracy","Std_Acc","Precision","Std_Pre","Recall","Std_Rec","F1","Std_F1"
"LDA_Simple",0.5,0.0801233616769775,0.494152932837143,0.0804651327221593,0.5,0.0801233616769775,0.483482286661252,0.0869674287893335
"QDA",0.853333333333333,0.0706233270314253,0.873440818440818,0.0605342673126033,0.853333333333333,0.0706233270314253,0.850677719577302,0.0722527164455065
"SVM_Radial",0.99,0.0161015297179883,0.990909090909091,0.0146377542890802,0.99,0.0161015297179883,0.989974937343358,0.0161418844290609
"SVM_Poly2",0.896666666666667,0.0291865011923638,0.908587153587154,0.0253757584245072,0.896666666666667,0.0291865011923638,0.895726944916607,0.0296902609680633
"SVM_Poly3",0.386666666666667,0.0421637021355784,0.421619861619862,0.144855737408974,0.386666666666667,0.0421637021355784,0.406654494502792,0.0782623770941352
"RF",0.863333333333333,0.0852737060193329,0.874750064750065,0.0854901817456149,0.863333333333333,0.0852737060193329,0.864454908422468,0.0851723487027124
