"Metodo","Accuracy","Std_Acc","Precision","Std_Pre","Recall","Std_Rec","F1","Std_F1"
"LDA_Simple",0.765686944634313,0.0467130822830079,0.785629333165478,0.0313581924229083,0.882,0.0750999334220744,0.829419340093388,0.0407063166056499
"QDA",0.74606971975393,0.0528759299061114,0.782452472346494,0.0447807725004619,0.848,0.0590291829898098,0.812737996797332,0.0407137801806182
"SVM_Radial",0.742190704032809,0.0339534817622057,0.789896727908578,0.0360680774739945,0.826,0.0490351347958221,0.806379414626591,0.0267576879413065
"SVM_Poly2",0.678468899521531,0.0448131900079496,0.69437763654497,0.0295097270680433,0.906,0.0462361090250659,0.785694953355126,0.0301302462940935
"SVM_Poly3",0.71484962406015,0.0370438326305371,0.737708686042053,0.026813043430965,0.874,0.0525357021462548,0.799275661146031,0.0275039691514946
"RF",0.770847573479152,0.0382707303391542,0.812723777056373,0.0440695146595698,0.848,0.0700476028616731,0.827388039411526,0.0327467388198363
