"Semilla","LDA_MASS","KFDA","QDA","SVM_Radial","SVM_Poly2","SVM_Poly3","GNLPDA"
1,1,0.903846153846154,1,1,0.903846153846154,0.980769230769231,1
2,0.980769230769231,0.865384615384615,0.961538461538462,0.942307692307692,0.923076923076923,0.942307692307692,0.980769230769231
3,0.980769230769231,0.923076923076923,0.980769230769231,1,0.923076923076923,0.980769230769231,0.961538461538462
4,1,0.903846153846154,0.980769230769231,1,0.903846153846154,0.961538461538462,0.961538461538462
5,1,0.884615384615385,1,1,0.942307692307692,1,0.961538461538462
6,1,0.923076923076923,0.980769230769231,0.980769230769231,0.942307692307692,0.942307692307692,0.961538461538462
7,1,0.826923076923077,0.961538461538462,0.961538461538462,0.903846153846154,0.980769230769231,0.980769230769231
8,0.980769230769231,0.903846153846154,1,0.980769230769231,0.884615384615385,0.942307692307692,1
9,1,0.846153846153846,1,1,0.903846153846154,0.923076923076923,0.903846153846154
10,0.980769230769231,0.884615384615385,0.980769230769231,0.980769230769231,0.923076923076923,0.980769230769231,0.980769230769231
11,1,0.826923076923077,1,0.980769230769231,0.903846153846154,0.942307692307692,0.923076923076923
12,0.961538461538462,0.923076923076923,0.961538461538462,0.980769230769231,0.903846153846154,0.980769230769231,0.961538461538462
13,0.980769230769231,0.942307692307692,1,0.980769230769231,0.942307692307692,0.961538461538462,0.980769230769231
14,0.980769230769231,0.865384615384615,0.980769230769231,0.980769230769231,0.884615384615385,0.980769230769231,0.980769230769231
15,0.980769230769231,0.923076923076923,0.980769230769231,1,0.865384615384615,0.980769230769231,1
16,0.961538461538462,0.769230769230769,1,1,0.942307692307692,0.980769230769231,1
17,0.980769230769231,0.846153846153846,0.980769230769231,0.942307692307692,0.807692307692308,0.884615384615385,0.923076923076923
18,0.980769230769231,0.865384615384615,1,0.980769230769231,0.865384615384615,1,0.942307692307692
19,1,0.942307692307692,1,0.961538461538462,0.884615384615385,0.980769230769231,0.980769230769231
20,1,0.903846153846154,0.980769230769231,0.961538461538462,0.846153846153846,0.961538461538462,1
21,1,0.865384615384615,1,0.961538461538462,0.865384615384615,0.961538461538462,0.961538461538462
22,0.980769230769231,0.884615384615385,0.980769230769231,0.980769230769231,0.826923076923077,0.980769230769231,0.961538461538462
23,0.961538461538462,0.942307692307692,0.980769230769231,1,0.846153846153846,0.884615384615385,0.980769230769231
24,1,0.884615384615385,0.980769230769231,0.980769230769231,0.923076923076923,0.942307692307692,0.961538461538462
25,1,0.884615384615385,0.980769230769231,0.980769230769231,0.923076923076923,0.942307692307692,0.980769230769231
26,0.961538461538462,0.826923076923077,1,0.961538461538462,0.884615384615385,0.942307692307692,0.942307692307692
27,1,0.865384615384615,0.980769230769231,0.980769230769231,0.923076923076923,0.942307692307692,0.961538461538462
28,0.980769230769231,0.923076923076923,1,0.961538461538462,0.846153846153846,0.942307692307692,0.980769230769231
29,1,0.903846153846154,1,1,0.961538461538462,0.980769230769231,0.961538461538462
30,0.980769230769231,0.942307692307692,0.980769230769231,0.980769230769231,0.942307692307692,0.942307692307692,0.961538461538462
