"","GNLPDA","KFDA","LDA_MASS","QDA","SVM_Poly2","SVM_Poly3"
"KFDA",1.84744596243291e-06,NA,NA,NA,NA,NA
"LDA_MASS",0.305617429700991,1.11022302462516e-12,NA,NA,NA,NA
"QDA",0.339757218481151,1.72650782559458e-12,0.999999996121841,NA,NA,NA
"SVM_Poly2",1.07092130684494e-05,0.999899596586588,1.25758292668365e-11,1.94344540460634e-11,NA,NA
"SVM_Poly3",0.963110515527624,0.00022635515696956,0.0283494210134704,0.034081585317937,0.000950144872086334,NA
"SVM_Radial",0.815601924457619,3.73332587066955e-10,0.984373168424587,0.989571942957517,3.38040606617795e-09,0.229202517280315
