"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,10,0.00220519558547602,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,5.65
2,100,0.0110259779273801,0.95049504950495,0.921155347384855,0.93703380800155,0.925925925925926,0.952614379084967,1.3
3,100,0.0110259779273801,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,1.31
4,100,0.0110259779273801,0.97029702970297,0.953420445810915,0.964373801041381,0.968518518518519,0.960678210678211,5.93
5,1,0.220519558547602,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,1.26
6,100,0.0110259779273801,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,1.25
7,100,0.00220519558547602,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,6.11
8,100,0.110259779273801,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,1.3
9,100,0.0220519558547602,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,1.17
10,10,0.220519558547602,0.97029702970297,0.953059643687064,0.963369963369963,0.959259259259259,0.967963386727689,6.47
11,100,0.00220519558547602,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,1.33
12,10,0.220519558547602,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,1.02
13,100,0.110259779273801,0.98019801980198,0.96906584992343,0.976551226551227,0.985185185185185,0.96969696969697,6.6
14,100,0.110259779273801,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,1.15
15,1,1.10259779273801,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,0.94
16,100,0.00220519558547602,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,6.58
17,100,0.110259779273801,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,1.19
18,10,0.551298896369004,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.92
19,10,0.0110259779273801,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,6.5
20,1,0.551298896369004,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,1.13
21,100,0.0220519558547602,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,0.98
22,100,0.00220519558547602,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,6.42
23,0.1,1.10259779273801,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,1.2
24,1,0.110259779273801,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.969999999999999
25,100,0.220519558547602,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,6.58
26,100,0.00220519558547602,0.96039603960396,0.937169517884914,0.950419527078566,0.942592592592593,0.960204885736801,1.17
27,0.1,2.20519558547602,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.959999999999999
28,100,0.220519558547602,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,6.64
29,100,0.110259779273801,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,1.03
30,100,0.0110259779273801,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,0.74
31,100,0.110259779273801,0.97029702970297,0.953059643687064,0.963369963369963,0.959259259259259,0.967963386727689,6.18
32,100,0.00220519558547602,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.99
33,100,0.0110259779273801,1,1,1,1,1,0.529999999999999
