"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
17,17,0.966666666666667,0.95,0.966647823629169,0.966666666666667,0.967741935483871,0.00999999999999801,10,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10",26,"V5, V6, V7, V8, V9, V1^2, V8*V1, V2^2, V3*V2, V2*V10, V3^2, V3*V4, V3*V6, V9*V3, V3*V10, V4^2, V7*V4, V10*V4, V5^2, V6^2, V6*V10, V7^2, V9*V7, V8^2, V9^2, V10^2",2651.842287729,0.487283909574468
18,18,0.888888888888889,0.833333333333333,0.888018493560946,0.888888888888889,0.901069518716577,0,7,"V2, V4, V5, V6, V8, V9, V10",11,"V4, V5, V2^2, V2*V4, V6*V2, V4^2, V5^2, V6^2, V8^2, V9^2, V10^2",3255.792264096,0.513464095744681
19,19,0.933333333333333,0.9,0.933189655172414,0.933333333333333,0.936974789915966,0.019999999999996,9,"V1, V2, V4, V5, V6, V7, V8, V9, V10",25,"V1, V5, V6, V7, V8, V1^2, V5*V1, V10*V1, V2^2, V5*V2, V6*V2, V4^2, V7*V4, V10*V4, V5^2, V9*V5, V5*V10, V6^2, V7^2, V7*V10, V8^2, V9*V8, V10*V8, V9^2, V10^2",1057.902844488,0.492686170212766
20,20,0.944444444444444,0.916666666666667,0.944055944055944,0.944444444444444,0.952380952380952,0,8,"V2, V3, V5, V6, V7, V8, V9, V10",19,"V7, V9, V10, V2^2, V9*V2, V3^2, V3*V6, V3*V8, V3*V10, V5^2, V9*V5, V5*V10, V6^2, V9*V6, V7^2, V8^2, V10*V8, V9^2, V10^2",2282.863490344,0.497672872340426
21,21,0.888888888888889,0.833333333333333,0.8881404993181,0.888888888888889,0.88971027479092,0.0200000000000031,7,"V1, V2, V4, V5, V6, V7, V9",13,"V1, V7, V1^2, V9*V1, V2^2, V2*V4, V9*V2, V4^2, V5^2, V6^2, V7^2, V9*V7, V9^2",3524.082846065,0.515292553191489
22,22,0.888888888888889,0.833333333333333,0.88841618151963,0.888888888888889,0.896825396825397,0.0300000000000011,9,"V1, V2, V3, V4, V5, V6, V7, V9, V10",20,"V5, V9, V1^2, V3*V1, V2^2, V7*V2, V3^2, V9*V3, V4^2, V10*V4, V5^2, V5*V7, V9*V5, V6^2, V9*V6, V6*V10, V7^2, V7*V10, V9^2, V10^2",1040.564523913,0.492603058510638
23,23,0.9,0.85,0.899683308494784,0.9,0.907020872865275,0,8,"V1, V2, V3, V5, V6, V7, V8, V9",18,"V1^2, V5*V1, V6*V1, V7*V1, V8*V1, V2^2, V6*V2, V2*V8, V3^2, V3*V8, V5^2, V9*V5, V6^2, V6*V8, V7^2, V7*V8, V8^2, V9^2",2330.75541434,0.494348404255319
24,24,0.911111111111111,0.866666666666666,0.910106321488938,0.911111111111111,0.924432497013142,0.00999999999999801,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",26,"V4, V6, V8, V9, V1^2, V2*V1, V7*V1, V8*V1, V9*V1, V2^2, V3*V2, V6*V2, V7*V2, V3^2, V7*V3, V4^2, V6*V4, V7*V4, V4*V8, V5^2, V5*V7, V5*V8, V6^2, V7^2, V8^2, V9^2",3593.440890481,0.488198138297872
25,25,0.911111111111111,0.866666666666666,0.910813201135782,0.911111111111111,0.917613636363636,0.0200000000000031,8,"V1, V2, V4, V5, V6, V7, V8, V9",23,"V5, V7, V8, V9, V1^2, V8*V1, V2^2, V4^2, V5*V4, V6*V4, V5^2, V5*V6, V5*V7, V9*V5, V6^2, V7*V6, V6*V8, V9*V6, V7^2, V7*V8, V9*V7, V8^2, V9^2",1005.75335372,0.498171542553192
26,26,0.822222222222222,0.733333333333333,0.819681466879439,0.822222222222222,0.83355529442486,0.0200000000000031,7,"V1, V2, V5, V6, V7, V8, V9",14,"V1, V9, V1^2, V8*V1, V2^2, V2*V8, V5^2, V6^2, V9*V6, V7^2, V7*V8, V9*V7, V8^2, V9^2",2052.282501159,0.51421210106383
27,27,0.9,0.85,0.8994708994709,0.9,0.909090909090909,0.00999999999999801,8,"V1, V2, V3, V4, V5, V6, V8, V9",25,"V4, V5, V1^2, V2*V1, V3*V1, V4*V1, V8*V1, V9*V1, V2^2, V6*V2, V2*V8, V3^2, V5*V3, V3*V8, V4^2, V4*V8, V5^2, V5*V6, V5*V8, V6^2, V6*V8, V9*V6, V8^2, V9*V8, V9^2",3596.839500466,0.499335106382979
28,28,0.866666666666667,0.8,0.863757115749526,0.866666666666667,0.891447368421053,0.019999999999996,8,"V1, V2, V3, V4, V5, V6, V7, V9",16,"V1^2, V3*V1, V7*V1, V2^2, V3^2, V3*V4, V4^2, V5*V4, V5^2, V5*V6, V5*V7, V9*V5, V6^2, V9*V6, V7^2, V9^2",985.444140624,0.497839095744681
29,29,0.866666666666667,0.8,0.864880952380952,0.866666666666667,0.868476621417798,0.00999999999999801,7,"V1, V2, V5, V6, V7, V8, V9",16,"V8, V1^2, V2*V1, V6*V1, V2^2, V5*V2, V6*V2, V9*V2, V5^2, V5*V7, V6^2, V6*V8, V7^2, V9*V7, V8^2, V9^2",2139.186368453,0.515458776595745
30,30,0.922222222222222,0.883333333333333,0.921756179625867,0.922222222222222,0.923810234966149,0.0200000000000031,8,"V1, V2, V3, V4, V5, V6, V7, V9",14,"V6, V1^2, V2*V1, V4*V1, V2^2, V6*V2, V3^2, V5*V3, V4^2, V9*V4, V5^2, V6^2, V7^2, V9^2",3745.178855951,0.502327127659574
31,31,0.822222222222222,0.733333333333333,0.81730445516777,0.822222222222222,0.822976822976823,0.0200000000000031,8,"V1, V2, V3, V4, V5, V6, V7, V8",18,"V2, V3, V4, V1^2, V3*V1, V4*V1, V5*V1, V2^2, V5*V2, V7*V2, V3^2, V4^2, V7*V4, V5^2, V6^2, V7*V6, V7^2, V8^2",989.326757777,0.497839095744681
32,32,0.877777777777778,0.816666666666667,0.876129718234981,0.877777777777778,0.882716049382716,0,8,"V2, V4, V5, V6, V7, V8, V9, V10",18,"V7, V2^2, V6*V2, V4^2, V5^2, V5*V7, V5*V10, V6^2, V7*V6, V6*V8, V7^2, V7*V8, V9*V7, V8^2, V10*V8, V9^2, V9*V10, V10^2",2366.655181234,0.498670212765957
33,33,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957,0,10,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10",24,"V4, V5, V1^2, V4*V1, V7*V1, V2^2, V3*V2, V6*V2, V3^2, V3*V4, V3*V10, V4^2, V5^2, V5*V7, V6^2, V6*V8, V6*V10, V7^2, V7*V10, V8^2, V10*V8, V9^2, V9*V10, V10^2",3648.358984859,0.484291888297872
