"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
11,11,0.934959349593496,0.912015856221033,0.913989087394295,0.910188884860877,0.922690199965217,0.0500000000000043,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",32,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_analf*i_edbasinc, i_analf*i_noelec, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_sdsalud, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_sdsalud^2, i_ptierra*i_sdsalud, i_noagua*i_sdsalud, i_noelec*i_sdsalud, i_ptierra*i_noagua, i_nodren*i_ptierra, i_nodren*i_noagua, i_noagua*i_noelec, i_nolav*i_noagua, i_noref*i_noagua, i_nolav*i_noelec",710.719397521,0.470412234042553
12,12,0.921409214092141,0.893755755393005,0.921903981776143,0.918674121910623,0.926585931639057,0.0399999999999991,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",32,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_noelec, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_noagua, i_nodren*i_asistesc, i_asistesc*i_noelec, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_ptierra*i_noagua, i_nodren*i_ptierra, i_ptierra*i_noelec, i_nolav*i_ptierra, i_ptierra*i_noref, i_nodren*i_noagua, i_noref*i_noagua, i_nodren*i_noelec, i_nolav*i_noelec",776.521533566,0.465093085106383
13,13,0.930894308943089,0.906442953020134,0.895463678685198,0.885400776840257,0.920898358361862,0.0499999999999972,11,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",35,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_nolav, i_noref, i_asistesc*i_analf, i_nodren*i_analf, i_analf*i_noelec, i_analf*i_noref, i_asistesc^2, i_asistesc*i_edbasinc, i_asistesc*i_ptierra, i_asistesc*i_nosan, i_nodren*i_asistesc, i_asistesc*i_noref, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_noref*i_edbasinc, i_sdsalud^2, i_nosan*i_sdsalud, i_noelec*i_sdsalud, i_ptierra*i_noelec, i_nolav*i_ptierra, i_ptierra*i_noref, i_nosan*i_noagua, i_nodren*i_nosan, i_nolav*i_nosan, i_noref*i_noagua",682.601707225,0.465841090425532
14,14,0.937669376693767,0.915841559613468,0.93363736767978,0.93409545485036,0.93437623453938,0.170000000000002,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_nolav, i_noref",28,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_nolav, i_noref, i_analf*i_edbasinc, i_analf*i_nosan, i_analf*i_noagua, i_asistesc*i_edbasinc, i_asistesc*i_ptierra, i_asistesc*i_noagua, i_asistesc*i_nolav, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nosan*i_sdsalud, i_noagua*i_sdsalud, i_nodren*i_sdsalud, i_nodren*i_ptierra, i_nolav*i_ptierra, i_nodren*i_nosan, i_nolav*i_nosan, i_nodren*i_noagua, i_nolav*i_noref",720.422369632,0.467835771276596
15,15,0.920054200542005,0.891941660110833,0.894682398792417,0.889666631273919,0.905528790641813,0.0399999999999991,11,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",36,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_noref, i_ptierra*i_analf, i_analf*i_nosan, i_nodren*i_analf, i_nolav*i_analf, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_ptierra, i_asistesc*i_nosan, i_asistesc*i_noagua, i_asistesc*i_noref, i_edbasinc^2, i_nosan*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_nodren*i_sdsalud, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_ptierra*i_noagua, i_ptierra*i_noelec, i_nolav*i_ptierra, i_nodren*i_nosan, i_nolav*i_nosan, i_nodren*i_noagua, i_nodren*i_noelec, i_noelec^2, i_nolav*i_noelec, i_noref*i_noelec",751.405667801,0.46766954787234
16,16,0.959349593495935,0.945089966642279,0.953203768246864,0.95395258707746,0.954267623713585,0.0599999999999952,11,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",39,"i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_noref, i_asistesc*i_analf, i_analf*i_edbasinc, i_analf*i_sdsalud, i_ptierra*i_analf, i_analf*i_noelec, i_nolav*i_analf, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_sdsalud, i_asistesc*i_noagua, i_nodren*i_asistesc, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_edbasinc*i_sdsalud, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_noagua*i_sdsalud, i_nodren*i_sdsalud, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_ptierra*i_nosan, i_nodren*i_ptierra, i_ptierra*i_noelec, i_nosan^2, i_nosan*i_noelec, i_noref*i_nosan, i_nolav*i_noagua, i_noref*i_noagua, i_nolav*i_noelec",674.741537523,0.468001994680851
17,17,0.913279132791328,0.88237550087287,0.872133276915154,0.86144068478979,0.896717530426451,0.0600000000000023,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_nolav, i_noref",34,"i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_edbasinc, i_ptierra*i_analf, i_analf*i_nosan, i_analf*i_noagua, i_analf*i_noref, i_asistesc^2, i_asistesc*i_edbasinc, i_asistesc*i_sdsalud, i_asistesc*i_ptierra, i_asistesc*i_nosan, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_edbasinc*i_sdsalud, i_ptierra*i_edbasinc, i_nosan*i_edbasinc, i_nodren*i_edbasinc, i_nolav*i_edbasinc, i_ptierra*i_sdsalud, i_nolav*i_sdsalud, i_noref*i_sdsalud, i_ptierra*i_noagua, i_ptierra*i_noref, i_nosan^2, i_nolav*i_nosan, i_nodren*i_noagua, i_nolav*i_noagua",708.705006144,0.462184175531915
18,18,0.929539295392954,0.904692366150591,0.902157154673284,0.894800368410397,0.916184631322646,0.159999999999997,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",35,"i_analf, i_edbasinc, i_noagua, i_nodren, i_noelec, i_noref, i_analf^2, i_analf*i_edbasinc, i_analf*i_sdsalud, i_analf*i_noagua, i_nodren*i_analf, i_asistesc*i_edbasinc, i_asistesc*i_ptierra, i_asistesc*i_noagua, i_nodren*i_asistesc, i_asistesc*i_noref, i_edbasinc^2, i_edbasinc*i_sdsalud, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nolav*i_edbasinc, i_ptierra*i_sdsalud, i_noagua*i_sdsalud, i_nodren*i_sdsalud, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_noref*i_sdsalud, i_nodren*i_ptierra, i_ptierra*i_noref, i_noagua^2, i_nodren^2, i_nodren*i_noref, i_nolav*i_noelec, i_noref*i_noelec, i_nolav*i_noref",767.355526845,0.465093085106383
19,19,0.937669376693767,0.91585553564391,0.920663921336524,0.921003364225215,0.924219351153776,0.0300000000000011,11,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",37,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf*i_edbasinc, i_analf*i_nosan, i_nodren*i_analf, i_analf*i_noelec, i_analf*i_noref, i_asistesc^2, i_asistesc*i_edbasinc, i_asistesc*i_noagua, i_asistesc*i_noref, i_nosan*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_noref*i_edbasinc, i_noagua*i_sdsalud, i_nolav*i_sdsalud, i_ptierra*i_noagua, i_nodren*i_ptierra, i_nolav*i_ptierra, i_nosan*i_noelec, i_noref*i_nosan, i_nolav*i_noagua, i_noref*i_noagua, i_nodren*i_noelec, i_noelec^2, i_nolav*i_noelec, i_noref*i_noelec",680.241108482,0.467835771276596
20,20,0.937669376693767,0.915691913397208,0.920683602501614,0.91713147770259,0.929549439120253,0.0499999999999972,10,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",33,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_noref, i_ptierra*i_analf, i_analf*i_nosan, i_analf*i_noelec, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_ptierra, i_asistesc*i_noagua, i_nodren*i_asistesc, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_nosan*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_nolav*i_edbasinc, i_noref*i_edbasinc, i_ptierra*i_nosan, i_ptierra*i_noagua, i_nodren*i_ptierra, i_nosan*i_noelec, i_nodren*i_noagua, i_noref*i_noagua, i_nolav*i_noelec",711.576075576,0.464511303191489
