"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
21,21,0.791304347826087,0.505376344086022,0.851851851851852,0.92,0.793103448275862,0.00999999999999801,5,"glucose, pressure, mass, pedigree, age",9,"glucose^2, glucose*pressure, glucose*mass, glucose*pedigree, pressure^2, pressure*pedigree, pressure*age, pedigree*age, age^2",690.082047156,0.710272606382979
22,22,0.778260869565217,0.485751863217887,0.839116719242902,0.886666666666667,0.796407185628742,0.019999999999996,5,"glucose, pressure, insulin, mass, age",9,"glucose, glucose^2, glucose*mass, pressure^2, pressure*insulin, pressure*mass, insulin*age, mass*age, age^2",340.21571445,0.700880984042553
23,23,0.778260869565217,0.485751863217887,0.839116719242902,0.886666666666667,0.796407185628742,0.0200000000000031,6,"glucose, triceps, insulin, mass, pedigree, age",11,"glucose*triceps, glucose*pedigree, glucose*age, triceps^2, insulin*triceps, insulin^2, mass*insulin, insulin*pedigree, insulin*age, mass*age, age^2",733.235632815,0.561253324468085
24,24,0.765217391304348,0.436479128856624,0.835365853658537,0.913333333333333,0.769662921348315,0,5,"glucose, pressure, mass, pedigree, age",11,"pressure, age, glucose*mass, glucose*age, pressure^2, pressure*mass, pressure*pedigree, pressure*age, mass*pedigree, mass*age, age^2",612.536194508,0.723487367021277
25,25,0.743478260869565,0.393925859758821,0.81733746130031,0.88,0.763005780346821,0.029999999999994,4,"glucose, mass, pedigree, age",6,"glucose*mass, glucose*age, mass^2, mass*age, pedigree*age, age^2",104.357785487,0.863530585106383
26,26,0.747826086956522,0.409734513274336,0.81875,0.873333333333333,0.770588235294118,0.00999999999999801,4,"glucose, mass, pedigree, age",6,"glucose, age, glucose*age, mass*pedigree, mass*age, age^2",79.126824881,0.877576462765957
27,27,0.778260869565217,0.498074454428755,0.83495145631068,0.86,0.811320754716981,0,5,"pregnant, glucose, pressure, mass, age",8,"glucose, pregnant^2, glucose*pregnant, pregnant*mass, pressure^2, pressure*age, mass^2, age^2",459.894073938,0.675116356382979
28,28,0.81304347826087,0.563740626378474,0.865203761755486,0.92,0.816568047337278,0.00999999999999801,6,"glucose, pressure, insulin, mass, pedigree, age",10,"glucose^2, glucose*mass, glucose*pedigree, pressure*mass, pressure*age, insulin*pedigree, insulin*age, mass*pedigree, mass*age, age^2",560.699719463,0.570478723404255
29,29,0.760869565217391,0.44880174291939,0.825396825396825,0.866666666666667,0.787878787878788,0,5,"glucose, pressure, mass, pedigree, age",7,"age, glucose*mass, pressure*mass, pressure*pedigree, pressure*age, mass*age, age^2",481.064898713,0.715508643617021
30,30,0.773913043478261,0.453881278538813,0.842424242424242,0.926666666666667,0.772222222222222,0,6,"glucose, pressure, insulin, mass, pedigree, age",12,"glucose^2, glucose*mass, glucose*pedigree, pressure*insulin, pressure*pedigree, pressure*age, insulin*pedigree, insulin*age, mass^2, mass*pedigree, mass*age, age^2",904.230896139,0.560671542553192
31,31,0.791304347826087,0.505376344086022,0.851851851851852,0.92,0.793103448275862,0.019999999999996,4,"glucose, mass, pedigree, age",7,"age, glucose*mass, mass^2, mass*pedigree, mass*age, pedigree*age, age^2",86.605138018,0.890458776595745
32,32,0.765217391304348,0.450442477876106,0.83125,0.886666666666667,0.782352941176471,0.00999999999999801,4,"glucose, mass, pedigree, age",7,"age, glucose*mass, glucose*age, mass^2, mass*pedigree, mass*age, age^2",67.181083798,0.862699468085106
33,33,0.765217391304348,0.466952789699571,0.825806451612903,0.853333333333333,0.8,0,6,"glucose, pressure, triceps, mass, pedigree, age",12,"pressure, triceps, age, glucose*triceps, pressure*age, triceps^2, mass*triceps, pedigree*triceps, mass^2, mass*pedigree, pedigree*age, age^2",681.12561757,0.563081781914894
