"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
18,18,0.903846153846154,0.779567613395507,0.848484848484849,0.756756756756757,0.96551724137931,0,7,"V5, V8, V14, V17, V24, V26, V28",21,"V5, V8, V14, V17, V24, V26, V5*V14, V5*V24, V5*V28, V8^2, V14*V8, V17*V8, V26*V8, V28*V8, V14^2, V14*V17, V28*V14, V24^2, V26*V24, V28*V26, V28^2",5120.532555377,0.0972406914893617
19,19,0.894230769230769,0.759056444818871,0.835820895522388,0.756756756756757,0.933333333333333,0.00999999999999801,7,"V3, V5, V10, V13, V24, V27, V29",20,"V3, V5, V24, V27, V5*V3, V3*V29, V5^2, V5*V24, V5*V27, V5*V29, V10^2, V10*V13, V10*V24, V13^2, V13*V24, V24^2, V27*V24, V29*V24, V27^2, V29*V27",1568.542059894,0.0905917553191489
20,20,0.894230769230769,0.752808988764045,0.825396825396825,0.702702702702703,1,0.0200000000000031,8,"V1, V5, V9, V10, V15, V24, V27, V29",21,"V5, V10, V1^2, V5*V1, V9*V1, V29*V1, V9*V5, V5*V15, V5*V24, V5*V27, V9^2, V9*V15, V9*V27, V10^2, V10*V27, V24*V15, V27*V15, V29*V15, V24^2, V27*V24, V27^2",3046.480188368,0.0785405585106383
21,21,0.913461538461538,0.805324459234609,0.869565217391304,0.810810810810811,0.9375,0,9,"V1, V4, V5, V6, V21, V22, V27, V29, V34",18,"V5, V6*V1, V22*V1, V29*V1, V4^2, V4*V29, V5*V27, V5*V29, V5*V34, V6^2, V6*V22, V21*V22, V21*V29, V22^2, V27^2, V29^2, V34*V29, V34^2",5321.259788073,0.0649933510638298
22,22,0.875,0.704028021015762,0.786885245901639,0.648648648648649,1,0.00999999999999801,8,"V1, V3, V5, V8, V10, V15, V17, V29",26,"V5, V17, V29, V5*V1, V8*V1, V15*V1, V17*V1, V29*V1, V3^2, V3*V10, V3*V15, V3*V17, V3*V29, V5^2, V5*V8, V5*V10, V5*V15, V5*V29, V8^2, V10*V8, V8*V15, V29*V8, V10^2, V10*V15, V17*V15, V29*V15",1640.467214315,0.0678191489361702
23,23,0.855769230769231,0.671440606571188,0.776119402985075,0.702702702702703,0.866666666666667,0.00999999999999801,7,"V5, V6, V9, V22, V27, V29, V34",23,"V5, V6, V9, V22, V27, V29, V5*V6, V9*V5, V5*V22, V5*V27, V9*V6, V6*V22, V6*V27, V6*V34, V9^2, V9*V29, V9*V34, V22^2, V22*V27, V34*V22, V27^2, V34*V27, V34^2",3106.057292963,0.0865192819148936
24,24,0.865384615384615,0.687419493344783,0.78125,0.675675675675676,0.925925925925926,0,6,"V5, V10, V15, V17, V24, V27",10,"V5, V24, V5*V27, V10^2, V15^2, V17*V15, V17^2, V17*V27, V24^2, V27^2",5119.190251186,0.12109375
25,25,0.865384615384615,0.687419493344783,0.78125,0.675675675675676,0.925925925925926,0.00999999999999801,9,"V7, V8, V10, V12, V16, V24, V26, V29, V34",28,"V7, V8, V10, V29, V7^2, V7*V10, V7*V16, V7*V34, V8^2, V12*V8, V29*V8, V34*V8, V10^2, V12*V10, V10*V24, V12^2, V12*V16, V12*V29, V16*V29, V16*V34, V24^2, V26*V24, V29*V24, V34*V24, V26^2, V26*V29, V34*V26, V34*V29",1670.791986415,0.0674035904255319
26,26,0.923076923076923,0.825868564252826,0.882352941176471,0.810810810810811,0.967741935483871,0,6,"V5, V6, V8, V15, V21, V27",14,"V5, V8, V15, V21, V5^2, V5*V15, V5*V27, V6^2, V6*V27, V8^2, V8*V15, V21*V15, V21^2, V27^2",2947.404593087,0.12641289893617
27,27,0.875,0.71160409556314,0.8,0.702702702702703,0.928571428571429,0.019999999999996,7,"V1, V5, V8, V25, V27, V29, V32",15,"V5, V8, V32, V1^2, V27*V1, V29*V1, V32*V1, V5*V25, V5*V27, V8^2, V25*V8, V25^2, V32*V25, V27^2, V32*V27",5219.629894045,0.0828623670212766
28,28,0.875,0.704028021015762,0.786885245901639,0.648648648648649,1,0.00999999999999801,9,"V4, V5, V13, V16, V23, V24, V27, V29, V30",24,"V4, V5, V23, V29, V4^2, V4*V13, V4*V24, V4*V29, V30*V4, V5^2, V5*V24, V5*V27, V13*V24, V30*V13, V16*V24, V16*V29, V30*V16, V23^2, V23*V24, V30*V23, V24^2, V30*V24, V27^2, V30*V27",1670.744794696,0.0657413563829787
29,29,0.932692307692308,0.846672283066554,0.895522388059701,0.810810810810811,1,0.0200000000000031,7,"V5, V8, V9, V13, V14, V15, V27",19,"V5, V8, V9, V5*V13, V5*V14, V5*V27, V8^2, V9*V8, V13*V8, V8*V15, V9^2, V9*V13, V9*V14, V9*V15, V9*V27, V13*V15, V14^2, V14*V15, V27^2",3008.388338431,0.0941655585106383
30,30,0.894230769230769,0.762063227953411,0.840579710144927,0.783783783783784,0.90625,0.00999999999999801,9,"V1, V5, V6, V8, V9, V14, V16, V25, V27",29,"V5, V8, V16, V27, V1^2, V5*V1, V6*V1, V8*V1, V16*V1, V25*V1, V5*V8, V9*V5, V5*V25, V5*V27, V9*V6, V6*V16, V8^2, V9*V8, V14*V8, V16*V8, V25*V8, V9^2, V14^2, V16*V14, V14*V27, V16^2, V16*V25, V16*V27, V27^2",5317.009870704,0.0644946808510638
31,31,0.855769230769231,0.679539852095316,0.788732394366197,0.756756756756757,0.823529411764706,0,8,"V5, V6, V7, V9, V11, V15, V24, V27",22,"V5, V6, V9, V11, V15, V24, V9*V5, V5*V11, V5*V27, V6*V11, V6*V27, V7^2, V9*V7, V7*V15, V7*V24, V9^2, V9*V24, V9*V27, V15^2, V24*V15, V27*V15, V24^2",1607.874703326,0.0761303191489362
32,32,0.894230769230769,0.752808988764045,0.825396825396825,0.702702702702703,1,0.0200000000000031,6,"V4, V5, V16, V24, V27, V29",11,"V4, V5, V29, V4^2, V16*V4, V4*V24, V5*V27, V5*V29, V16^2, V16*V24, V29*V27",2906.501656149,0.112367021276596
33,33,0.894230769230769,0.755972696245734,0.830769230769231,0.72972972972973,0.964285714285714,0,7,"V1, V5, V7, V8, V11, V25, V27",15,"V1, V5, V7, V8, V5*V11, V5*V27, V7*V8, V7*V11, V7*V25, V8^2, V11*V8, V25*V8, V8*V27, V11*V25, V27^2",5266.545002756,0.0862699468085106
