"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.4502,NA,NA,NA
"SVM_POLY2",3e-04,0,NA,NA
"SVM_POLY3",0.0212,0,0.7607,NA
"SVM_RBF",1e-04,0,0.9992,0.6089
