"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0035,NA,NA,NA,NA,NA
"LDA",0.9933,0.0373,NA,NA,NA,NA
"QDA",0,0.2434,0,NA,NA,NA
"SVM_POLY2",0.1353,0.9071,0.492,0.0095,NA,NA
"SVM_POLY3",0.2893,0.7305,0.7305,0.0025,0.9998,NA
"SVM_RBF",0.1451,0.8962,0.5122,0.0086,1,0.9999
