"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0026,NA,NA,NA
"SVM_POLY2",0.1024,0.7607,NA,NA
"SVM_POLY3",0.1779,0.6089,0.9992,NA
"SVM_RBF",0.0838,0.8054,1,0.9975
