"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0022,NA,NA,NA
"SVM_POLY2",0.9883,3e-04,NA,NA
"SVM_POLY3",0.9998,0.0041,0.9661,NA
"SVM_RBF",0.9883,3e-04,1,0.9661
