"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0,NA,NA,NA,NA,NA
"LDA",0.3575,0.0175,NA,NA,NA,NA
"QDA",0.0175,0.3575,0.8962,NA,NA,NA
"SVM_POLY2",4e-04,0,0,0,NA,NA
"SVM_POLY3",0.0311,0,0,0,0.9173,NA
"SVM_RBF",0.0117,0,0,0,0.9811,0.9999
