"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0096,NA,NA,NA
"SVM_POLY2",0.7124,1e-04,NA,NA
"SVM_POLY3",0.9985,0.0035,0.8645,NA
"SVM_RBF",0.8977,3e-04,0.9961,0.9732
