"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0084,NA,NA,NA
"SVM_POLY2",0.0611,0.9661,NA,NA
"SVM_POLY3",0.8977,3e-04,0.0035,NA
"SVM_RBF",0,0.0346,0.0041,0
