"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",1,NA,NA,NA,NA,NA
"LDA",0,0,NA,NA,NA,NA
"QDA",0.1779,0.2434,0.1779,NA,NA,NA
"SVM_POLY2",6e-04,3e-04,0,0,NA,NA
"SVM_POLY3",0.0283,0.0175,0,0,0.9506,NA
"SVM_RBF",0.0069,0.004,0,0,0.9969,0.9996
