"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0,NA,NA,NA,NA,NA
"LDA",0,0,NA,NA,NA,NA
"QDA",0.9896,0,0.0011,NA,NA,NA
"SVM_POLY2",1,0,0,0.9916,NA,NA
"SVM_POLY3",1,0,1e-04,0.9988,1,NA
"SVM_RBF",0,0.9983,0,0,0,0
