"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0164,NA,NA,NA
"SVM_POLY2",0.068,0.9883,NA,NA
"SVM_POLY3",0.846,4e-04,0.0026,NA
"SVM_RBF",0,0.2657,0.0928,0
