"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0,NA,NA,NA
"SVM_POLY2",0.9661,0,NA,NA
"SVM_POLY3",0.9975,0,0.9975,NA
"SVM_RBF",0,0.9883,0,0
