"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.2657,NA,NA,NA
"SVM_POLY2",3e-04,0,NA,NA
"SVM_POLY3",0.0611,0,0.5556,NA
"SVM_RBF",7e-04,0,0.9996,0.6872
