"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.9985,NA,NA,NA
"SVM_POLY2",0,0,NA,NA
"SVM_POLY3",8e-04,3e-04,0.6872,NA
"SVM_RBF",0,0,0.9732,0.9579
