"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.2463,NA,NA,NA
"SVM_POLY2",0.0063,0,NA,NA
"SVM_POLY3",0.3292,8e-04,0.5556,NA
"SVM_RBF",0.5024,0.9916,0,0.0047
