"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.1024,NA,NA,NA
"SVM_POLY2",0,0,NA,NA
"SVM_POLY3",6e-04,0,0.2278,NA
"SVM_RBF",0,0,0.5823,0.9732
