"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.1024,NA,NA,NA
"SVM_POLY2",0,0,NA,NA
"SVM_POLY3",0,0,0.8645,NA
"SVM_RBF",0.0016,0,0.1779,0.7369
