"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0445,NA,NA,NA,NA,NA
"LDA",0.1899,0.9977,NA,NA,NA,NA
"QDA",0.5936,0.8723,0.9933,NA,NA,NA
"SVM_POLY2",0.1009,0,0,2e-04,NA,NA
"SVM_POLY3",0.8453,3e-04,0.0035,0.0373,0.8156,NA
"SVM_RBF",0.0935,1,0.9999,0.9572,0,0.0011
