"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",1e-04,NA,NA,NA
"SVM_POLY2",0.7835,0.011,NA,NA
"SVM_POLY3",0.0346,0,6e-04,NA
"SVM_RBF",0,0.1242,0,0
