"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",1e-04,NA,NA,NA,NA,NA
"LDA",0.9983,7e-04,NA,NA,NA,NA
"QDA",0.1009,0.4325,0.3224,NA,NA,NA
"SVM_POLY2",0,0,0,0,NA,NA
"SVM_POLY3",3e-04,0,0,0,0.9916,NA
"SVM_RBF",0.0095,0,0.0012,0,0.6736,0.9732
