"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0,NA,NA,NA,NA,NA
"LDA",0.8723,0.0022,NA,NA,NA,NA
"QDA",0.0159,0.5529,0.3757,NA,NA,NA
"SVM_POLY2",0,0,0,0,NA,NA
"SVM_POLY3",0.0028,0,0,0,0.9506,NA
"SVM_RBF",0.0486,0,5e-04,0,0.5122,0.9811
