"","GNLPDA","KFDA","LDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0481,NA,NA,NA,NA
"LDA",0.0134,0,NA,NA,NA
"SVM_POLY2",0.1629,0.9968,0,NA,NA
"SVM_POLY3",0.9179,0.0016,0.2033,0.0094,NA
"SVM_RBF",1e-04,0.4921,0,0.2182,0
