"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0022,NA,NA,NA,NA,NA
"LDA",0,0,NA,NA,NA,NA
"QDA",0.9631,0,6e-04,NA,NA,NA
"SVM_POLY2",0.8723,0.126,0,0.2893,NA,NA
"SVM_POLY3",0.053,0,0.2893,0.4325,6e-04,NA
"SVM_RBF",0,0.5936,0,0,3e-04,0
