"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",1,NA,NA,NA,NA,NA
"LDA",0,0,NA,NA,NA,NA
"QDA",0.2024,0.2582,0.1664,NA,NA,NA
"SVM_POLY2",6e-04,4e-04,0,0,NA,NA
"SVM_POLY3",0.0283,0.0194,0,0,0.9506,NA
"SVM_RBF",0.005,0.0032,0,0,0.9988,0.9988
