"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",1e-04,NA,NA,NA
"SVM_POLY2",0.5823,0.0187,NA,NA
"SVM_POLY3",0.0548,0,3e-04,NA
"SVM_RBF",0,0.1242,0,0
