"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0,NA,NA,NA,NA,NA
"LDA",0.9811,1e-04,NA,NA,NA,NA
"QDA",0,0.9916,0,NA,NA,NA
"SVM_POLY2",0.9071,3e-04,0.9999,0,NA,NA
"SVM_POLY3",0.9071,3e-04,0.9999,0,1,NA
"SVM_RBF",0.4133,0.0077,0.9071,4e-04,0.9811,0.9811
