"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0011,NA,NA,NA,NA,NA
"LDA",0,0,NA,NA,NA,NA
"QDA",0.9916,0,4e-04,NA,NA,NA
"SVM_POLY2",0.7119,0.1664,0,0.2582,NA,NA
"SVM_POLY3",0.0865,0,0.2893,0.3943,3e-04,NA
"SVM_RBF",0,0.5936,0,0,5e-04,0
