"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.6139,NA,NA,NA,NA,NA
"LDA",0,0,NA,NA,NA,NA
"QDA",1e-04,0,0.9998,NA,NA,NA
"SVM_POLY2",4e-04,0,0.9916,0.9998,NA,NA
"SVM_POLY3",0.053,1e-04,0.3757,0.6139,0.8308,NA
"SVM_RBF",7e-04,0,0.9774,0.9988,1,0.8962
