"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0283,NA,NA,NA,NA,NA
"LDA",0.1779,0,NA,NA,NA,NA
"QDA",0.1555,0,1,NA,NA,NA
"SVM_POLY2",0.8592,2e-04,0.9071,0.8846,NA,NA
"SVM_POLY3",0.9999,0.0106,0.3224,0.2893,0.9572,NA
"SVM_RBF",0.9872,0.0018,0.634,0.5936,0.9988,0.9991
