"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.1493,NA,NA,NA
"SVM_POLY2",0.0241,0,NA,NA
"SVM_POLY3",0.6615,0.0026,0.4761,NA
"SVM_RBF",0.1024,0.9998,0,0.0014
