"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0,NA,NA,NA,NA,NA
"LDA",0,0,NA,NA,NA,NA
"QDA",0.9948,0,4e-04,NA,NA,NA
"SVM_POLY2",0.9991,0,2e-04,1,NA,NA
"SVM_POLY3",0.9999,0,1e-04,0.9998,1,NA
"SVM_RBF",1e-04,0.9999,0,0,0,0
