"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0,NA,NA,NA
"SVM_POLY2",1,0,NA,NA
"SVM_POLY3",0.9985,0,0.9985,NA
"SVM_RBF",0,0.9377,0,0
