"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.7833,NA,NA,NA,NA,NA
"LDA",0,0,NA,NA,NA,NA
"QDA",0,0,1,NA,NA,NA
"SVM_POLY2",3e-04,0,0.9997,0.9959,NA,NA
"SVM_POLY3",0.0213,1e-04,0.7305,0.5733,0.9173,NA
"SVM_RBF",1e-04,0,1,0.9997,1,0.8156
