"","GNLPDA","KFDA","SVM_POLY2","SVM_POLY3"
"KFDA",0,NA,NA,NA
"SVM_POLY2",0.7835,3e-04,NA,NA
"SVM_POLY3",0.7607,3e-04,1,NA
"SVM_RBF",0.3072,0.0055,0.9377,0.9484
