"","GNLPDA","KFDA","LDA","QDA","SVM_POLY2","SVM_POLY3"
"KFDA",0.0069,NA,NA,NA,NA,NA
"LDA",0.6929,0,NA,NA,NA,NA
"QDA",0.6929,0,1,NA,NA,NA
"SVM_POLY2",0.9983,8e-04,0.9433,0.9433,NA,NA
"SVM_POLY3",1,0.0077,0.6736,0.6736,0.9977,NA
"SVM_RBF",0.9988,0.001,0.9353,0.9353,1,0.9983
