Metrica,Media,Std_Dev
Accuracy,0.9935672514619881,0.0012328567875899998
F1-Score,0.9918567398605779,0.0023401538563224493
Recall,0.9923062689692805,0.002242846147436075
Precision,0.9922993132057458,0.002721449164492084
Vars_E1,3.0,0.0
Vars_E2,3.0,0.0
Tiempo,2.8966423048,0.023984107443008374
