"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,10,0.00336944358130282,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,2.88
2,10,0.0336944358130282,0.96039603960396,0.936677115987461,0.948778565799842,0.933333333333333,0.972789115646258,0.97
3,100,0.0336944358130282,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,1.64
4,10,0.0336944358130282,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,3.23
5,10,0.00336944358130282,0.97029702970297,0.953059643687064,0.963369963369963,0.959259259259259,0.967963386727689,0.97
6,10,0.00336944358130282,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,3.04
7,100,0.00336944358130282,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,3.44
8,10,0.168472179065141,1,1,1,1,1,1.97
9,100,0.0336944358130282,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,3.14
10,100,0.0336944358130282,0.96039603960396,0.937169517884914,0.950419527078566,0.942592592592593,0.960204885736801,3.49
11,100,0.168472179065141,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,2.67
12,100,0.0336944358130282,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,2.55
13,100,0.168472179065141,0.98019801980198,0.96906584992343,0.976551226551227,0.985185185185185,0.96969696969697,4.4
14,100,0.0336944358130282,1,1,1,1,1,3.21
15,1,0.336944358130282,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,1.13
16,1,0.0336944358130282,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,5.55
17,100,0.0336944358130282,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,2.44
18,100,0.00336944358130282,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.710000000000001
19,0.1,0.842360895325706,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,6.93
20,100,0.00336944358130282,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,1.11
21,0.1,1.68472179065141,0.940594059405941,0.906481481481481,0.927777777777778,0.927777777777778,0.927777777777778,0.579999999999998
22,100,0.168472179065141,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,7.45
23,1,0.336944358130282,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.74
24,100,0.00336944358130282,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.550000000000001
25,10,0.168472179065141,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,7.33
26,10,0.0336944358130282,0.95049504950495,0.921155347384855,0.93703380800155,0.925925925925926,0.952614379084967,0.59
27,0.1,0.842360895325706,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.49
28,100,0.0336944358130282,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,7.33
29,100,0.00336944358130282,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,0.640000000000001
30,100,0.00336944358130282,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.459999999999999
31,100,0.0336944358130282,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,7.22
32,1,0.0336944358130282,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.529999999999999
33,100,0.00336944358130282,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.73
