,GNLPDA,KFDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.45,0.001,0.001,0.021
KFDA,0.45,1.0,0.001,0.001,0.001
SVM(Gauss),0.001,0.001,1.0,0.999,0.609
SVM(POL2),0.001,0.001,0.999,1.0,0.761
SVM(POL3),0.021,0.001,0.609,0.761,1.0
