,GNLPDA,KFDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.001,0.001,1.0,0.999
KFDA,0.001,1.0,0.938,0.001,0.001
SVM(Gauss),0.001,0.938,1.0,0.001,0.001
SVM(POL2),1.0,0.001,0.001,1.0,0.999
SVM(POL3),0.999,0.001,0.001,0.999,1.0
