,GNLPDA,KFDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.246,0.502,0.006,0.329
KFDA,0.246,1.0,0.992,0.001,0.001
SVM(Gauss),0.502,0.992,1.0,0.001,0.005
SVM(POL2),0.006,0.001,0.001,1.0,0.556
SVM(POL3),0.329,0.001,0.005,0.556,1.0
