,GNLPDA,KFDA,SVM(Gauss),SVM(POL2),SVM(POL3)
GNLPDA,1.0,0.996,0.001,0.001,0.001
KFDA,0.996,1.0,0.001,0.001,0.001
SVM(Gauss),0.001,0.001,1.0,0.948,0.979
SVM(POL2),0.001,0.001,0.948,1.0,0.687
SVM(POL3),0.001,0.001,0.979,0.687,1.0
