Metodo,1.2.penguins_long_graficos,1.3.pimadiabetes_long_graficos,1.4.wines_long_graficos,3.1.Cebolla3D_long_graficos,3.2.Cebolla10D_long_graficos,3.3.Cebolla20D_long_graficos,4.1.CancerWisconsin_long_graficos,4.2.Ionosphere_long_graficos,5.4.indicadores2015_long_graficos,5.5.indicadores2020_long_graficos
GNLPDA,2.77 (abc),2.12 (a),3.82 (d),4.08 (d),3.93 (c),3.77 (cd),3.13 (bc),3.80 (cd),4.00 (d),4.00 (d)
KFDA,4.27 (e),3.60 (bcde),4.50 (de),4.23 (de),1.38 (a),1.98 (ab),3.97 (cde),2.53 (ab),5.00 (de),5.00 (de)
SVM(Gauss),2.57 (ab),3.15 (abcd),2.00 (a),2.25 (ab),1.70 (ab),1.02 (a),3.78 (cd),1.72 (a),2.12 (ab),2.50 (abc)
SVM(POL2),2.57 (a),3.12 (abc),2.10 (ab),1.95 (a),3.93 (cd),3.30 (c),1.75 (a),2.73 (abc),1.52 (a),1.47 (a)
SVM(POL3),2.83 (abcd),3.02 (ab),2.58 (abc),2.48 (abc),4.05 (cde),4.93 (e),2.37 (ab),4.22 (de),2.37 (abc),2.03 (ab)
